album,spotify_album_uri,track,spotify_track_uri,album_name,track_name,artist,featuring,duration_ms,explicit
Taylor Swift,7mzrIsaAjnXihW3InKjlC3,Tim McGraw,0Om9WAB5RS09L80DyOfTNa,Taylor Swift,Tim McGraw,Taylor Swift,NA,232106,FALSE
Taylor Swift,7mzrIsaAjnXihW3InKjlC3,Picture To Burn,32mVHdy0bi1XKgr0ajsBlG,Taylor Swift,Picture To Burn,Taylor Swift,NA,173066,FALSE
Taylor Swift,7mzrIsaAjnXihW3InKjlC3,Teardrops On My Guitar - Radio Single Remix,7zMcNqs55Mxer82bvZFkpg,Taylor Swift,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,NA,203040,FALSE
Taylor Swift,7mzrIsaAjnXihW3InKjlC3,A Place in this World,73OX8GdpOeGzKC6OvGSbsv,Taylor Swift,A Place in this World,Taylor Swift,NA,199200,FALSE
Taylor Swift,7mzrIsaAjnXihW3InKjlC3,Cold As You,7an1exwMnfYRcdVQm0yDev,Taylor Swift,Cold As You,Taylor Swift,NA,239013,FALSE
Taylor Swift,7mzrIsaAjnXihW3InKjlC3,The Outside,2QA3IixpRcKyOdG7XDzRgv,Taylor Swift,The Outside,Taylor Swift,NA,207106,FALSE
Taylor Swift,7mzrIsaAjnXihW3InKjlC3,Tied Together with a Smile,6K0CJLVXqbGMeJSmJ4ENKK,Taylor Swift,Tied Together with a Smile,Taylor Swift,NA,248106,FALSE
Taylor Swift,7mzrIsaAjnXihW3InKjlC3,Stay Beautiful,2ZoOmCSgj0ypVAmGd1ve4y,Taylor Swift,Stay Beautiful,Taylor Swift,NA,236053,FALSE
Taylor Swift,7mzrIsaAjnXihW3InKjlC3,Should've Said No,16MVSD0mGI4RMQT83Qzm69,Taylor Swift,Should've Said No,Taylor Swift,NA,242200,FALSE
Taylor Swift,7mzrIsaAjnXihW3InKjlC3,Mary's Song (Oh My My My),2QrQCMel6v2JiLxqrg4p2O,Taylor Swift,Mary's Song (Oh My My My),Taylor Swift,NA,213080,FALSE
Taylor Swift,7mzrIsaAjnXihW3InKjlC3,Our Song,15DeqWWQB4dcEWzJg15VrN,Taylor Swift,Our Song,Taylor Swift,NA,201106,FALSE
Taylor Swift,7mzrIsaAjnXihW3InKjlC3,I'm Only Me When I'm With You,0JIdBrXGSJXS72zjF9ss9u,Taylor Swift,I'm Only Me When I'm With You,Taylor Swift,NA,213053,FALSE
Taylor Swift,7mzrIsaAjnXihW3InKjlC3,Invisible,5OOd01o2YS1QFwdpVLds3r,Taylor Swift,Invisible,Taylor Swift,NA,203226,FALSE
Taylor Swift,7mzrIsaAjnXihW3InKjlC3,A Perfectly Good Heart,1spLfUJxtyVyiKKTegQ2r4,Taylor Swift,A Perfectly Good Heart,Taylor Swift,NA,220146,FALSE
Taylor Swift,7mzrIsaAjnXihW3InKjlC3,Teardrops on My Guitar - Pop Version,4pJi1rVt9GNegU9kywjg4z,Taylor Swift,Teardrops on My Guitar - Pop Version,Taylor Swift,NA,179066,FALSE
The Taylor Swift Holiday Collection,7vzYp7FrKnTRoktBYsx9SF,Last Christmas,2IprIjGNRlj3TfqUWCAo0C,The Taylor Swift Holiday Collection,Last Christmas,Taylor Swift,NA,208253,FALSE
The Taylor Swift Holiday Collection,7vzYp7FrKnTRoktBYsx9SF,Christmases When You Were Mine,1g09DZjQ7yBommCT6POY2n,The Taylor Swift Holiday Collection,Christmases When You Were Mine,Taylor Swift,NA,184253,FALSE
The Taylor Swift Holiday Collection,7vzYp7FrKnTRoktBYsx9SF,Santa Baby,71IScwIe7bcIlpnlkbKVQw,The Taylor Swift Holiday Collection,Santa Baby,Taylor Swift,NA,158600,FALSE
The Taylor Swift Holiday Collection,7vzYp7FrKnTRoktBYsx9SF,Silent Night,1cJkUN5LAotktryx2nPCr7,The Taylor Swift Holiday Collection,Silent Night,Taylor Swift,NA,209893,FALSE
